name,technology,bidding_EOM,bidding_CRM_pos,bidding_CRM_neg,max_power_charge,max_power_discharge,efficiency_charge,efficiency_discharge,min_soc,max_soc,capacity,additional_cost_charge,additional_cost_discharge,natural_inflow,unit_operator
Tanzmühle - Rabenleite,PSPP,storage_energy_heuristic_flexable,storage_capacity_heuristic_balancing_pos,storage_capacity_heuristic_balancing_neg,25,35,0.81,0.88,0,1,404,0.28,0.28,0,GDF SUEZ ENERGIE DEUTSCHLAND
Schwarzenbachwerk,PSPP,storage_energy_heuristic_flexable,storage_capacity_heuristic_balancing_pos,storage_capacity_heuristic_balancing_neg,20,46,0.73,0.82,0,1,198,0.28,0.28,1.2,ENBW ENERGIE BADEN-WURTTEMBERG
Leitzach II,PSPP,storage_energy_heuristic_flexable,storage_capacity_heuristic_balancing_pos,storage_capacity_heuristic_balancing_neg,38,49,0.86,0.9,0,1,550,0.28,0.28,0.7,STADTWERKE MUENCHEN GMBH
Leitzach I,PSPP,storage_energy_heuristic_flexable,storage_capacity_heuristic_balancing_pos,storage_capacity_heuristic_balancing_neg,40,51,0.86,0.9,0,1,550,0.28,0.28,1.8,STADTWERKE MUENCHEN GMBH
Hohenwarte I,PSPP,storage_energy_heuristic_flexable,storage_capacity_heuristic_balancing_pos,storage_capacity_heuristic_balancing_neg,34,63,0.8,0.87,0,1,504,0.28,0.28,1.9,VATTENFALL EUROPE AG
Bleiloch,PSPP,storage_energy_heuristic_flexable,storage_capacity_heuristic_balancing_pos,storage_capacity_heuristic_balancing_neg,32,80,0.8,0.87,0,1,640,0.28,0.28,1.3,VATTENFALL EUROPE AG
Wendefurth,PSPP,storage_energy_heuristic_flexable,storage_capacity_heuristic_balancing_pos,storage_capacity_heuristic_balancing_neg,72,80,0.82,0.88,0,1,523,0.28,0.28,0,VATTENFALL EUROPE AG
Glems,PSPP,storage_energy_heuristic_flexable,storage_capacity_heuristic_balancing_pos,storage_capacity_heuristic_balancing_neg,68,90,0.84,0.89,0,1,560,0.28,0.28,0,ENBW ENERGIE BADEN-WURTTEMBERG
Reisach - Rabenleite,PSPP,storage_energy_heuristic_flexable,storage_capacity_heuristic_balancing_pos,storage_capacity_heuristic_balancing_neg,84,100,0.85,0.9,0,1,630,0.28,0.28,0,GDF SUEZ ENERGIE DEUTSCHLAND
Geesthacht,PSPP,storage_energy_heuristic_flexable,storage_capacity_heuristic_balancing_pos,storage_capacity_heuristic_balancing_neg,96,105,0.81,0.87,0,1,600,0.28,0.28,0,VATTENFALL EUROPE AG
Rönkhausen,PSPP,storage_energy_heuristic_flexable,storage_capacity_heuristic_balancing_pos,storage_capacity_heuristic_balancing_neg,140,140,0.85,0.9,0,1,690,0.28,0.28,0,ENERVIE - SUEDWESTFALEN ENERGIE
Waldeck I,PSPP,storage_energy_heuristic_flexable,storage_capacity_heuristic_balancing_pos,storage_capacity_heuristic_balancing_neg,96,140,0.87,0.92,0,1,478,0.28,0.28,0,UNIPER
Häusern,PSPP,storage_energy_heuristic_flexable,storage_capacity_heuristic_balancing_pos,storage_capacity_heuristic_balancing_neg,104,144,0.82,0.88,0,1,514,0.28,0.28,0,ENBW ENERGIE BADEN-WURTTEMBERG
Koepchenwerk Herdecke II,PSPP,storage_energy_heuristic_flexable,storage_capacity_heuristic_balancing_pos,storage_capacity_heuristic_balancing_neg,153,153,0.85,0.9,0,1,590,0.28,0.28,0,RWE POWER AG
Happurg,PSPP,storage_energy_heuristic_flexable,storage_capacity_heuristic_balancing_pos,storage_capacity_heuristic_balancing_neg,126,160,0.83,0.89,0,1,900,0.28,0.28,0,UNIPER
Langenprozelten,PSPP,storage_energy_heuristic_flexable,storage_capacity_heuristic_balancing_pos,storage_capacity_heuristic_balancing_neg,154,168,0.85,0.9,0,1,950,0.28,0.28,0,UNIPER
Waldshut,PSPP,storage_energy_heuristic_flexable,storage_capacity_heuristic_balancing_pos,storage_capacity_heuristic_balancing_neg,80,176,0.79,0.86,0,1,581,0.28,0.28,0,ENBW ENERGIE BADEN-WURTTEMBERG
Erzhausen,PSPP,storage_energy_heuristic_flexable,storage_capacity_heuristic_balancing_pos,storage_capacity_heuristic_balancing_neg,230,220,0.84,0.9,0,1,940,0.28,0.28,0,STATKRAFT AS
Witznau,PSPP,storage_energy_heuristic_flexable,storage_capacity_heuristic_balancing_pos,storage_capacity_heuristic_balancing_neg,128,220,0.77,0.84,0,1,880,0.28,0.28,0,ENBW ENERGIE BADEN-WURTTEMBERG
Hohenwarte II,PSPP,storage_energy_heuristic_flexable,storage_capacity_heuristic_balancing_pos,storage_capacity_heuristic_balancing_neg,310,320,0.8,0.87,0,1,2087,0.28,0.28,0,VATTENFALL EUROPE AG
Säckingen,PSPP,storage_energy_heuristic_flexable,storage_capacity_heuristic_balancing_pos,storage_capacity_heuristic_balancing_neg,301,353,0.86,0.91,0,1,2064,0.28,0.28,1.8,ENBW ENERGIE BADEN-WURTTEMBERG
Waldeck II,PSPP,storage_energy_heuristic_flexable,storage_capacity_heuristic_balancing_pos,storage_capacity_heuristic_balancing_neg,476,440,0.87,0.92,0,1,3428,0.28,0.28,0,UNIPER
Wehr,PSPP,storage_energy_heuristic_flexable,storage_capacity_heuristic_balancing_pos,storage_capacity_heuristic_balancing_neg,1000,992,0.86,0.9,0,1,6076,0.28,0.28,0,RWE POWER AG
Markersbach,PSPP,storage_energy_heuristic_flexable,storage_capacity_heuristic_balancing_pos,storage_capacity_heuristic_balancing_neg,1140,1050,0.84,0.89,0,1,4018,0.28,0.28,0,VATTENFALL EUROPE AG
Goldisthal,PSPP,storage_energy_heuristic_flexable,storage_capacity_heuristic_balancing_pos,storage_capacity_heuristic_balancing_neg,1140,1060,0.88,0.92,0,1,8480,0.28,0.28,0,VATTENFALL EUROPE AG
