name,technology,bidding_EOM,fuel_type,emission_factor,max_power,min_power,efficiency,ramp_up,ramp_down,additional_costs,hot_start_costs,warm_start_costs,cold_start_costs,min_operating_time,min_down_time,heat_extraction,max_heat_extraction,unit_operator
Wind Onshore,wind_onshore,powerplant_energy_heuristic_flexable,renewable,0,53190,0,1,,,0,0,0,0,0,0,0,0,renewables_operator
Wind Offshore,wind_offshore,powerplant_energy_heuristic_flexable,renewable,0,7560,0,1,,,0,0,0,0,0,0,0,0,renewables_operator
Solar,solar,powerplant_energy_heuristic_flexable,renewable,0,48860,0,1,,,0,0,0,0,0,0,0,0,renewables_operator
Hydro,hydro,powerplant_energy_heuristic_flexable,renewable,0,4940,0,1,,,0,0,0,0,0,0,0,0,renewables_operator
Biomass,biomass,powerplant_energy_heuristic_flexable,renewable,0,8340,0,1,,,0,0,0,0,0,0,0,0,renewables_operator
KKW ISAR 2,nuclear,powerplant_energy_learning,uranium,0,1485.0,590.0,0.33,890.0,890.0,10.3,140.0,140.0,140.0,72.0,10.0,no,0.0,RL_operator
KKW BROKDORF,nuclear,powerplant_energy_learning,uranium,0,1480.0,590.0,0.33,890.0,890.0,10.3,140.0,140.0,140.0,72.0,10.0,no,0.0,RL_operator
KKW GROHNDE,nuclear,powerplant_energy_learning,uranium,0,1430.0,570.0,0.33,860.0,860.0,10.3,140.0,140.0,140.0,72.0,10.0,no,0.0,RL_operator
KKW EMSLAND,nuclear,powerplant_energy_learning,uranium,0,1406.0,560.0,0.33,840.0,840.0,10.3,140.0,140.0,140.0,72.0,10.0,no,0.0,RL_operator
KKW NECKARWESTHEIM,nuclear,powerplant_energy_learning,uranium,0,1400.0,560.0,0.33,840.0,840.0,10.3,140.0,140.0,140.0,72.0,10.0,no,0.0,RL_operator
KKW GUNDREMMINGEN C,nuclear,powerplant_energy_learning,uranium,0,1344.0,540.0,0.33,810.0,810.0,10.3,140.0,140.0,140.0,72.0,10.0,no,0.0,RL_operator
NEURATH F,lignite,powerplant_energy_learning,lignite,0.406,1120.0,560.0,0.434,590.0,590.0,1.65,30.4,47.5,69.3,10.0,7.0,no,0.0,RL_operator
NEURATH G,lignite,powerplant_energy_learning,lignite,0.406,1120.0,560.0,0.434,590.0,590.0,1.65,30.4,47.5,69.3,10.0,7.0,no,0.0,RL_operator
NIEDERAUSSEM K,lignite,powerplant_energy_learning,lignite,0.406,1012.0,510.0,0.422,540.0,540.0,1.65,30.4,47.5,69.3,10.0,7.0,no,0.0,RL_operator
LIPPENDORF R,lignite,powerplant_energy_learning,lignite,0.406,933.0,470.0,0.416,490.0,490.0,1.65,30.4,47.5,69.3,10.0,7.0,yes,165.0,RL_operator
LIPPENDORF S,lignite,powerplant_energy_learning,lignite,0.406,933.0,470.0,0.415,490.0,490.0,1.65,30.4,47.5,69.3,10.0,7.0,yes,165.0,RL_operator
BOXBERG Q,lignite,powerplant_energy_learning,lignite,0.406,907.0,460.0,0.415,480.0,480.0,1.65,30.4,47.5,69.3,10.0,7.0,yes,65.0,RL_operator
SCHWARZE PUMPE A,lignite,powerplant_energy_learning,lignite,0.406,800.0,400.0,0.408,420.0,420.0,1.65,30.4,47.5,69.3,10.0,7.0,yes,60.0,RL_operator
SCHWARZE PUMPE B,lignite,powerplant_energy_learning,lignite,0.406,800.0,400.0,0.407,420.0,420.0,1.65,30.4,47.5,69.3,10.0,7.0,yes,60.0,RL_operator
BOXBERG R,lignite,powerplant_energy_learning,lignite,0.406,675.0,340.0,0.433,360.0,360.0,1.65,30.4,47.5,69.3,10.0,7.0,no,0.0,RL_operator
NIEDERAUSSEM G,lignite,powerplant_energy_learning,lignite,0.406,620.0,310.0,0.38,330.0,330.0,1.65,30.4,47.5,69.3,10.0,7.0,yes,245.0,RL_operator
NIEDERAUSSEM H,lignite,powerplant_energy_learning,lignite,0.406,620.0,310.0,0.374,330.0,330.0,1.65,30.4,47.5,69.3,10.0,7.0,no,0.0,RL_operator
NEURATH D,lignite,powerplant_energy_learning,lignite,0.406,600.0,300.0,0.364,320.0,320.0,1.65,30.4,47.5,69.3,10.0,7.0,yes,5.0,RL_operator
WEISWEILER H,lignite,powerplant_energy_learning,lignite,0.406,600.0,300.0,0.364,320.0,320.0,1.65,30.4,47.5,69.3,10.0,7.0,yes,92.0,RL_operator
NEURATH E,lignite,powerplant_energy_learning,lignite,0.406,600.0,300.0,0.363,320.0,320.0,1.65,30.4,47.5,69.3,10.0,7.0,yes,5.0,RL_operator
WEISWEILER G,lignite,powerplant_energy_learning,lignite,0.406,600.0,300.0,0.354,320.0,320.0,1.65,30.4,47.5,69.3,10.0,7.0,yes,92.0,RL_operator
JAENSCHWALDE D,lignite,powerplant_energy_learning,lignite,0.406,500.0,250.0,0.388,270.0,270.0,1.65,30.4,47.5,69.3,10.0,7.0,yes,76.0,RL_operator
JAENSCHWALDE B,lignite,powerplant_energy_learning,lignite,0.406,500.0,250.0,0.38,270.0,270.0,1.65,30.4,47.5,69.3,10.0,7.0,yes,76.0,RL_operator
JAENSCHWALDE C,lignite,powerplant_energy_learning,lignite,0.406,500.0,250.0,0.379,270.0,270.0,1.65,30.4,47.5,69.3,10.0,7.0,yes,76.0,RL_operator
BOXBERG P,lignite,powerplant_energy_learning,lignite,0.406,500.0,250.0,0.372,270.0,270.0,1.65,30.4,47.5,69.3,10.0,7.0,yes,30.0,RL_operator
JAENSCHWALDE A,lignite,powerplant_energy_learning,lignite,0.406,500.0,250.0,0.37,270.0,270.0,1.65,30.4,47.5,69.3,10.0,7.0,yes,76.0,RL_operator
BOXBERG N,lignite,powerplant_energy_learning,lignite,0.406,500.0,250.0,0.362,270.0,270.0,1.65,30.4,47.5,69.3,10.0,7.0,yes,30.0,RL_operator
SCHKOPAU II A,lignite,powerplant_energy_learning,lignite,0.406,480.0,240.0,0.41,260.0,260.0,1.65,30.4,47.5,69.3,10.0,7.0,yes,100.0,RL_operator
SCHKOPAU II B,lignite,powerplant_energy_learning,lignite,0.406,480.0,240.0,0.41,260.0,260.0,1.65,30.4,47.5,69.3,10.0,7.0,yes,100.0,RL_operator
NIEDERAUSSEM C,lignite,powerplant_energy_learning,lignite,0.406,335.0,170.0,0.338,180.0,180.0,1.65,30.4,47.5,69.3,10.0,7.0,no,0.0,RL_operator
NEURATH A,lignite,powerplant_energy_learning,lignite,0.406,300.0,150.0,0.355,160.0,160.0,1.65,45.1,73.9,73.2,10.0,7.0,no,0.0,RL_operator
NEURATH B,lignite,powerplant_energy_learning,lignite,0.406,300.0,150.0,0.355,160.0,160.0,1.65,45.1,73.9,73.2,10.0,7.0,no,0.0,RL_operator
WEISWEILER E,lignite,powerplant_energy_learning,lignite,0.406,300.0,150.0,0.338,160.0,160.0,1.65,45.1,73.9,73.2,10.0,7.0,no,0.0,RL_operator
WEISWEILER F,lignite,powerplant_energy_learning,lignite,0.406,300.0,150.0,0.337,160.0,160.0,1.65,45.1,73.9,73.2,10.0,7.0,no,0.0,RL_operator
WERDOHL ELVERLINGSEN E4,hard coal,powerplant_energy_learning,hard coal,0.335,315.0,130.0,0.39,220.0,220.0,1.3,30.4,47.5,69.3,7.0,6.0,no,0.0,RL_operator
BEXBACH C 1,hard coal,powerplant_energy_learning,hard coal,0.335,773.0,310.0,0.389,530.0,530.0,1.3,30.4,47.5,69.3,7.0,6.0,no,0.0,RL_operator
GERSTEINWERK BLOCK K,hard coal,powerplant_energy_learning,hard coal,0.335,670.0,270.0,0.42,460.0,460.0,1.3,30.4,47.5,69.3,7.0,6.0,no,0.0,RL_operator
IBBENBUEREN B NO 1,hard coal,powerplant_energy_learning,hard coal,0.335,808.0,330.0,0.398,550.0,550.0,1.3,30.4,47.5,69.3,7.0,6.0,yes,20.0,RL_operator
HEILBRONN 7,hard coal,powerplant_energy_learning,hard coal,0.335,760.0,310.0,0.398,520.0,520.0,1.3,30.4,47.5,69.3,7.0,6.0,yes,550.0,RL_operator
RDK (KARLSRUHE) 7,hard coal,powerplant_energy_learning,hard coal,0.335,550.0,220.0,0.398,380.0,380.0,1.3,30.4,47.5,69.3,7.0,6.0,yes,220.0,RL_operator
ALTBACH DEIZISAU HKW I,hard coal,powerplant_energy_learning,hard coal,0.335,460.0,190.0,0.398,320.0,320.0,1.3,30.4,47.5,69.3,7.0,6.0,yes,280.0,RL_operator
ZOLLING LEININGER 5,hard coal,powerplant_energy_learning,hard coal,0.335,474.0,190.0,0.398,320.0,320.0,1.3,30.4,47.5,69.3,7.0,6.0,yes,150.0,RL_operator
HEYDEN 4,hard coal,powerplant_energy_learning,hard coal,0.335,911.0,370.0,0.396,620.0,620.0,1.3,30.4,47.5,69.3,7.0,6.0,no,0.0,RL_operator
HKW BERLIN REUTER WEST D,hard coal,powerplant_energy_learning,hard coal,0.335,300.0,120.0,0.382,210.0,210.0,1.3,45.1,73.9,73.2,7.0,6.0,yes,363.0,RL_operator
WALSUM BLOCK 9,hard coal,powerplant_energy_learning,hard coal,0.335,410.0,170.0,0.406,280.0,280.0,1.3,30.4,47.5,69.3,7.0,6.0,yes,150.0,RL_operator
HKW BERLIN REUTER WEST E,hard coal,powerplant_energy_learning,hard coal,0.335,300.0,120.0,0.405,210.0,210.0,1.3,45.1,73.9,73.2,7.0,6.0,yes,363.0,RL_operator
HERNE BLOCK 4,hard coal,powerplant_energy_learning,hard coal,0.335,500.0,200.0,0.405,340.0,340.0,1.3,30.4,47.5,69.3,7.0,6.0,yes,550.0,RL_operator
GKH HANNOVER,hard coal,powerplant_energy_learning,hard coal,0.335,300.0,120.0,0.405,210.0,210.0,1.3,45.1,73.9,73.2,7.0,6.0,yes,425.0,RL_operator
STAUDINGER 5,hard coal,powerplant_energy_learning,hard coal,0.335,510.0,210.0,0.412,350.0,350.0,1.3,30.4,47.5,69.3,7.0,6.0,yes,300.0,RL_operator
GKM 8,hard coal,powerplant_energy_learning,hard coal,0.335,480.0,200.0,0.412,330.0,330.0,1.3,30.4,47.5,69.3,7.0,6.0,yes,500.0,RL_operator
ROSTOCK 1,hard coal,powerplant_energy_learning,hard coal,0.335,553.0,230.0,0.432,380.0,380.0,1.3,30.4,47.5,69.3,7.0,6.0,yes,150.0,RL_operator
ALTBACH DEIZISAU HKW II,hard coal,powerplant_energy_learning,hard coal,0.335,348.0,140.0,0.428,240.0,240.0,1.3,30.4,47.5,69.3,7.0,6.0,yes,280.0,RL_operator
WALSUM 10,hard coal,powerplant_energy_learning,hard coal,0.335,790.0,320.0,0.454,540.0,540.0,1.3,30.4,47.5,69.3,7.0,6.0,yes,190.0,RL_operator
RDK (KARLSRUHE) 8,hard coal,powerplant_energy_learning,hard coal,0.335,912.0,370.0,0.452,620.0,620.0,1.3,30.4,47.5,69.3,7.0,6.0,yes,220.0,RL_operator
WESTFALEN E,hard coal,powerplant_energy_learning,hard coal,0.335,820.0,330.0,0.452,560.0,560.0,1.3,30.4,47.5,69.3,7.0,6.0,no,0.0,RL_operator
GKM 9,hard coal,powerplant_energy_learning,hard coal,0.335,911.0,370.0,0.454,620.0,620.0,1.3,30.4,47.5,69.3,7.0,6.0,yes,500.0,RL_operator
MOORBURG A,hard coal,powerplant_energy_learning,hard coal,0.335,865.0,350.0,0.465,590.0,590.0,1.3,30.4,47.5,69.3,7.0,6.0,yes,120.0,RL_operator
MOORBURG B,hard coal,powerplant_energy_learning,hard coal,0.335,865.0,350.0,0.465,590.0,590.0,1.3,30.4,47.5,69.3,7.0,6.0,yes,120.0,RL_operator
WILHELMSHAVEN A,hard coal,powerplant_energy_learning,hard coal,0.335,770.0,310.0,0.373,520.0,520.0,1.3,30.4,47.5,69.3,7.0,6.0,no,0.0,RL_operator
IRSCHING 5,combined cycle gas turbine,powerplant_energy_learning,natural gas,0.201,860.0,350.0,0.597,710.0,710.0,3.5,24.1,34.2,46.7,5.0,3.0,no,0.0,RL_operator
EMSLAND LINGEN D,combined cycle gas turbine,powerplant_energy_learning,natural gas,0.201,850.0,340.0,0.592,710.0,702.0,3.5,24.1,34.2,46.7,5.0,3.0,yes,50.0,RL_operator
GUD HUERTH KNAPSACK 1,combined cycle gas turbine,powerplant_energy_learning,natural gas,0.201,800.0,320.0,0.548,660.0,660.0,3.5,24.1,34.2,46.7,5.0,3.0,yes,0.0,RL_operator
KW LAUSWARD BLOCK FORTUNA GUD,combined cycle gas turbine,powerplant_energy_learning,natural gas,0.201,595.0,240.0,0.6,500.0,500.0,3.5,24.1,34.2,46.7,5.0,3.0,yes,300.0,RL_operator
DORMAGEN RWE,combined cycle gas turbine,powerplant_energy_learning,natural gas,0.201,580.0,240.0,0.523,480.0,480.0,3.5,24.1,34.2,46.7,5.0,3.0,yes,480.0,RL_operator
IRSCHING 4,combined cycle gas turbine,powerplant_energy_learning,natural gas,0.201,565.0,230.0,0.59,470.0,470.0,3.5,24.1,34.2,46.7,5.0,3.0,no,0.0,RL_operator
KW BASF LUDWIGSHAFEN MITTE,combined cycle gas turbine,powerplant_energy_learning,natural gas,0.201,490.0,200.0,0.56,410.0,410.0,3.5,24.1,34.2,46.7,5.0,3.0,yes,540.0,RL_operator
EMSLAND LINGEN B,combined cycle gas turbine,powerplant_energy_learning,natural gas,0.201,481.0,200.0,0.46,400.0,400.0,3.5,24.1,34.2,46.7,5.0,3.0,yes,37.0,RL_operator
EMSLAND LINGEN C,combined cycle gas turbine,powerplant_energy_learning,natural gas,0.201,481.0,200.0,0.46,400.0,400.0,3.5,24.1,34.2,46.7,5.0,3.0,yes,37.0,RL_operator
KW BREMEN MITTELSBUEREN BLOCK 5 GUD,combined cycle gas turbine,powerplant_energy_learning,natural gas,0.201,445.0,180.0,0.58,370.0,370.0,3.5,24.1,34.2,46.7,5.0,3.0,yes,0.0,RL_operator
BERLIN MITTE HKW,combined cycle gas turbine,powerplant_energy_learning,natural gas,0.201,444.0,180.0,0.488,370.0,370.0,3.5,24.1,34.2,46.7,5.0,3.0,yes,1210.0,RL_operator
GUD HUERTH KNAPSACK 2,combined cycle gas turbine,powerplant_energy_learning,natural gas,0.201,430.0,180.0,0.59,360.0,360.0,3.5,24.1,34.2,46.7,5.0,3.0,yes,0.0,RL_operator
HKW MUENCHEN SUED GUD,combined cycle gas turbine,powerplant_energy_learning,natural gas,0.201,426.0,180.0,0.54,360.0,360.0,3.5,24.1,34.2,46.7,5.0,3.0,yes,463.0,RL_operator
KW LAUSWARD BLOCK EMIL GUD,combined cycle gas turbine,powerplant_energy_learning,natural gas,0.201,424.0,170.0,0.363,350.0,350.0,3.5,24.1,34.2,46.7,5.0,3.0,yes,140.0,RL_operator
KW HERDECKE CUNO MARK E,combined cycle gas turbine,powerplant_energy_learning,natural gas,0.201,417.0,170.0,0.548,350.0,350.0,3.5,24.1,34.2,46.7,5.0,3.0,yes,50.0,RL_operator
GERSTEINWERK BLOCK F,combined cycle gas turbine,powerplant_energy_learning,natural gas,0.201,410.0,170.0,0.41,340.0,340.0,3.5,24.1,34.2,46.7,5.0,3.0,no,0.0,RL_operator
GERSTEINWERK BLOCK G,combined cycle gas turbine,powerplant_energy_learning,natural gas,0.201,410.0,170.0,0.41,340.0,340.0,3.5,24.1,34.2,46.7,5.0,3.0,no,0.0,RL_operator
KOELN NIEHL 2,combined cycle gas turbine,powerplant_energy_learning,natural gas,0.201,405.0,170.0,0.54,340.0,340.0,3.5,24.1,34.2,46.7,5.0,3.0,yes,370.0,RL_operator
HAMM UENTROP BLOCK 10,combined cycle gas turbine,powerplant_energy_learning,natural gas,0.201,400.0,160.0,0.575,330.0,330.0,3.5,24.1,34.2,46.7,5.0,3.0,no,0.0,RL_operator
HAMM UENTROP BLOCK 20,combined cycle gas turbine,powerplant_energy_learning,natural gas,0.201,400.0,160.0,0.575,330.0,330.0,3.5,24.1,34.2,46.7,5.0,3.0,no,0.0,RL_operator
MAINZ III,combined cycle gas turbine,powerplant_energy_learning,natural gas,0.201,397.0,160.0,0.58,330.0,330.0,3.5,24.1,34.2,46.7,5.0,3.0,yes,115.0,RL_operator
KW BASF LUDWIGSHAFEN SUED,combined cycle gas turbine,powerplant_energy_learning,natural gas,0.201,396.0,160.0,0.51,330.0,330.0,3.5,24.1,34.2,46.7,5.0,3.0,yes,420.0,RL_operator
RDK (KARLSRUHE) 4RP,combined cycle gas turbine,powerplant_energy_learning,natural gas,0.201,378.0,160.0,0.497,320.0,320.0,3.5,24.1,34.2,46.7,5.0,3.0,no,0.0,RL_operator
KW STAUDINGER 4,open cycle gas turbine,powerplant_energy_learning,natural gas,0.201,622.0,160.0,0.317,622.0,622.0,5.5,17.1,21.8,29.6,0.0,0.0,no,0.0,RL_operator
NUERNBERG FRANKEN 1,open cycle gas turbine,powerplant_energy_learning,natural gas,0.201,440.0,110.0,0.363,440.0,440.0,5.5,17.1,21.8,29.6,0.0,0.0,no,0.0,RL_operator
IRSCHING 3,open cycle gas turbine,powerplant_energy_learning,natural gas,0.201,440.0,110.0,0.308,440.0,440.0,5.5,17.1,21.8,29.6,0.0,0.0,no,25.0,RL_operator
KW HUNTORF CAES GT,open cycle gas turbine,powerplant_energy_learning,natural gas,0.201,321.0,90.0,0.31,321.0,321.0,5.5,17.1,21.8,29.6,0.0,0.0,no,0.0,RL_operator
KW DUISBURG HUCKINGEN BLOCK A,open cycle gas turbine,powerplant_energy_learning,natural gas,0.201,303.0,80.0,0.363,303.0,303.0,5.5,17.1,21.8,29.6,0.0,0.0,yes,34.0,RL_operator
KW DUISBURG HUCKINGEN BLOCK B,open cycle gas turbine,powerplant_energy_learning,natural gas,0.201,303.0,80.0,0.363,303.0,303.0,5.5,17.1,21.8,29.6,0.0,0.0,yes,34.0,RL_operator
Agg_PP_1,lignite,powerplant_energy_learning,lignite,0.406,343.0,182.0,0.36,186.0,186.0,1.65,45.1,73.9,73.2,10.0,7.0,yes,251.0,RL_operator
Agg_PP_2,hard coal,powerplant_energy_learning,hard coal,0.335,453.0,184.0,0.39,317.0,317.0,1.3,45.1,73.9,73.2,7.0,6.0,yes,750.0,RL_operator
Agg_PP_3,hard coal,powerplant_energy_learning,hard coal,0.335,450.0,195.0,0.39,315.0,315.0,1.3,45.1,73.9,73.2,7.0,6.0,yes,340.0,RL_operator
Agg_PP_4,hard coal,powerplant_energy_learning,hard coal,0.335,406.0,182.0,0.4,278.0,278.0,1.3,45.1,73.9,73.2,7.0,6.0,yes,547.0,RL_operator
Agg_PP_5,hard coal,powerplant_energy_learning,hard coal,0.335,592.0,254.0,0.41,411.0,411.0,1.3,45.1,73.9,73.2,7.0,6.0,yes,785.0,RL_operator
Agg_PP_6,combined cycle gas turbine,powerplant_energy_learning,natural gas,0.201,510.0,210.0,0.5,430.0,430.0,3.5,24.1,34.2,46.7,5.0,3.0,yes,640.0,RL_operator
Agg_PP_7,combined cycle gas turbine,powerplant_energy_learning,natural gas,0.201,460.0,200.0,0.47,380.0,380.0,3.5,24.1,34.2,46.7,5.0,3.0,yes,275.0,RL_operator
Agg_PP_8,combined cycle gas turbine,powerplant_energy_learning,natural gas,0.201,566.0,230.0,0.51,490.0,490.0,3.5,24.1,34.2,46.7,5.0,3.0,yes,551.0,RL_operator
Agg_PP_9,combined cycle gas turbine,powerplant_energy_learning,natural gas,0.201,487.0,210.0,0.39,420.0,420.0,3.5,24.1,34.2,46.7,5.0,3.0,yes,400.0,RL_operator
Agg_PP_10,combined cycle gas turbine,powerplant_energy_learning,natural gas,0.201,417.0,190.0,0.56,350.0,350.0,3.5,24.1,34.2,46.7,5.0,3.0,yes,442.0,RL_operator
Agg_PP_11,combined cycle gas turbine,powerplant_energy_learning,natural gas,0.201,454.0,200.0,0.5,400.0,400.0,3.5,24.1,34.2,46.7,5.0,3.0,yes,582.0,RL_operator
Agg_PP_12,combined cycle gas turbine,powerplant_energy_learning,natural gas,0.201,408.0,170.0,0.53,361.0,361.0,3.5,24.1,34.2,46.7,5.0,3.0,yes,425.0,RL_operator
Agg_PP_13,combined cycle gas turbine,powerplant_energy_learning,natural gas,0.201,419.0,170.0,0.49,348.0,348.0,3.5,24.1,34.2,46.7,5.0,3.0,yes,635.0,RL_operator
Agg_PP_14,combined cycle gas turbine,powerplant_energy_learning,natural gas,0.201,427.0,172.0,0.49,355.0,355.0,3.5,24.1,34.2,46.7,5.0,3.0,yes,419.0,RL_operator
Agg_PP_15,combined cycle gas turbine,powerplant_energy_learning,natural gas,0.201,404.0,165.0,0.41,337.0,337.0,3.5,24.1,34.2,46.7,5.0,3.0,yes,461.0,RL_operator
Agg_PP_16,combined cycle gas turbine,powerplant_energy_learning,natural gas,0.201,371.0,153.0,0.45,312.0,312.0,3.5,24.1,34.2,46.7,5.0,3.0,yes,0.0,RL_operator
Agg_PP_17,open cycle gas turbine,powerplant_energy_learning,natural gas,0.201,544.0,140.0,0.38,544.0,544.0,5.5,17.1,21.8,29.6,0.0,0.0,yes,0.0,RL_operator
Agg_PP_18,open cycle gas turbine,powerplant_energy_learning,natural gas,0.201,478.0,130.0,0.34,478.0,478.0,5.5,17.1,21.8,29.6,0.0,0.0,yes,478.0,RL_operator
Agg_PP_19,open cycle gas turbine,powerplant_energy_learning,natural gas,0.201,442.0,119.0,0.36,442.0,442.0,5.5,17.1,21.8,29.6,0.0,0.0,yes,715.0,RL_operator
Agg_PP_20,open cycle gas turbine,powerplant_energy_learning,natural gas,0.201,418.0,107.0,0.35,418.0,418.0,5.5,17.1,21.8,29.6,0.0,0.0,yes,805.0,RL_operator
Agg_PP_21,open cycle gas turbine,powerplant_energy_learning,natural gas,0.201,446.0,113.0,0.34,446.0,446.0,5.5,16.13,20.24,27.06,0.0,0.0,yes,212.0,RL_operator
Agg_PP_22,open cycle gas turbine,powerplant_energy_learning,natural gas,0.201,409.0,106.0,0.36,409.0,409.0,5.5,9.3,9.3,9.3,0.0,0.0,yes,0.0,RL_operator
Agg_PP_23,open cycle gas turbine,powerplant_energy_learning,natural gas,0.201,38.0,10.0,0.34,38.0,38.0,5.5,9.3,9.3,9.3,0.0,0.0,yes,0.0,RL_operator
